,feats,scroe
0,HR,0.039164923
1,O2Sat,0.030434804
2,Temp,0.036026694
3,SBP,0.031742148
4,MAP,0.030112695
5,DBP,0.032065626
6,Resp,0.038117234
7,EtCO2,0.062122975
8,BaseExcess,0.032852832
9,HCO3,0.02050641
10,FiO2,0.06462009
11,pH,0.022422992
12,PaCO2,0.019352637
13,SaO2,0.021144561
14,AST,0.020814065
15,BUN,0.024932394
16,Alkalinephos,0.019711282
17,Calcium,0.019036422
18,Chloride,0.021020662
19,Creatinine,0.020337267
20,Bilirubin_direct,0.02219412
21,Glucose,0.022751564
22,Lactate,0.027602205
23,Magnesium,0.019517167
24,Phosphate,0.018869743
25,Potassium,0.02018483
26,Bilirubin_total,0.022916188
27,TroponinI,0.022684988
28,Hct,0.02006757
29,Hgb,0.018084252
30,PTT,0.020292109
31,WBC,0.02115607
32,Fibrinogen,0.021199077
33,Platelets,0.021191958
34,Age,0.050946675
35,Gender,0.043802794
